asset_key,title,creator,license,source,use
bridge,Bridge of a Modern Cruise Ship,Richard Weil,CC0 1.0,https://commons.wikimedia.org/wiki/File:Bridge_of_a_Modern_Cruise_Ship.jpg,"Bridge/watchkeeping, lookout, responsibility and verification"
cargo,Cargo ship,Wilfredor,CC0 1.0,https://commons.wikimedia.org/wiki/File:Cargo_ship.jpg,General power-driven vessel and open-water rules
channel_ship,"Container Ship, English Channel",Gary Todd,CC0 1.0,"https://commons.wikimedia.org/wiki/File:Container_Ship,_English_Channel_(10509006206).jpg",Channel/open-water encounter context
narrow,USS John C. Stennis navigating a narrow channel,U.S. Navy / Mark J. Rebilas,Public Domain — U.S. Navy federal work,"https://commons.wikimedia.org/wiki/File:US_Navy_040629-N-6213R-128_Commanding_Officer,_USS_John_C._Stennis_(CVN_74),_Capt._David_H._Buss,_keeps_close_watch_as_the_ship_is_navigated_through_the_narrow_channel_into_Pearl_Harbor,_Hawaii.jpg",Rule 9 narrow channels
sail,Sailboat in the ocean,Seabee314,CC0 1.0,https://commons.wikimedia.org/wiki/File:Sailboat_in_the_ocean.jpg,Sailing vessel rules
fishing,Fishing vessel UK-272,Tvabutzku1234,CC0 1.0,https://commons.wikimedia.org/wiki/File:Fishing_vessel_UK-272.jpg,Fishing vessel rules
mixed,Fishing vessel and container ship,Tvabutzku1234,CC0 1.0,https://commons.wikimedia.org/wiki/File:Fishing_vessel_and_container_ship.jpg,Crossing/responsibility between vessel types
tug,Tugboat with work barge in Tokyo,Vantey,Public Domain — released by author worldwide,https://commons.wikimedia.org/wiki/File:Tugboat_with_work_barge_in_Tokyo_20110812_2.jpg,"Towing, pushing and manoeuvring"
pilot,Enterprise pilot boat,Alf van Beem,CC0 1.0,https://commons.wikimedia.org/wiki/File:Enterprise_pilot_boat.JPG,Pilot vessel
fog,Margaret Todd in the fog,Snyder261,CC0 1.0,https://commons.wikimedia.org/wiki/File:Margaret_Todd_in_the_fog.jpg,Restricted visibility and fog signals
aground,Big cargo ship aground,Steve Hillebrand / U.S. Fish and Wildlife Service,Public Domain — author/federal source,https://commons.wikimedia.org/wiki/File:Big_cargo_ship_aground.jpg,Anchored/aground vessel context
navlights,COLREG Rule 23 navigation-light diagram,U.S. Coast Guard,Public Domain — U.S. Coast Guard federal work,https://commons.wikimedia.org/wiki/File:Nr_Rule23a.gif,"Lights, definitions and visibility"
bell,Ship bell aboard USS Chancellorsville,U.S. Navy,Public Domain — U.S. Navy federal work,https://commons.wikimedia.org/wiki/File:Ship_bell_missile_cruiser_USS_Chancellorsville.jpg,Sound-signal equipment
flare,Signal flare,Los688,CC0 1.0,https://commons.wikimedia.org/wiki/File:JASDF_U-125A_20090822-05(Signal_flare).JPG,Distress signal recognition
seaplane,Grumman seaplane,U.S. Navy,Public Domain — U.S. Navy federal work,https://commons.wikimedia.org/wiki/File:XJR2F-1_NATC_NAN1-50.jpg,Rule 31 seaplanes
buoy,Red and green light navigation buoys,Wikideas1,CC0 1.0,https://commons.wikimedia.org/wiki/File:Red_and_green_light_navigation_buoys.webp,Project Watch home hub — Buoyage & Marks
